Número Movimiento;Nombre;Ciudad;Fecha de movimiento;Valor de movimiento;Tipo;Banco;Imagen;Forma de pago
18;Tempo Energia;Chicago;6/01/2020;-$1.584,35;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
19;Tenneco;Los Ángeles;6/01/2020;$29.823,06;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
20;Tempo Energia;Houston;6/01/2020;$24.967,63;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Tarjeta
21;Tenneco;Nueva York;6/01/2020;$27.617,04;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
22;Tempo Energia;Los Ángeles;6/01/2020;$28.136,57;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
23;Tenneco;Chicago;6/01/2020;$23.719,25;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;MercadoPago
24;Tempo Energia;Nueva York;6/01/2020;$24.473,54;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
25;Tenneco;Los Ángeles;6/01/2020;-$268,56;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
26;Tempo Energia;Los Ángeles;6/01/2020;-$52.492,86;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
27;Tenneco;Los Ángeles;6/01/2020;$29.336,04;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
28;Indaia;Nueva York;9/01/2020;$132.518,40;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
29;Yabora;Nueva York;9/01/2020;$7.633,59;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;MercadoPago
30;Ind De Moveis Thb;Los Ángeles;9/01/2020;$7.412,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
31;Canoas Shopping;Houston;10/01/2020;$3.706,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
32;Agropalma;Nueva York;11/01/2020;$7.412,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
33;Indaia;Los Ángeles;11/01/2020;$3.706,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
34;Yara Brasil;Los Ángeles;11/01/2020;$7.412,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
35;Xcmg;Houston;11/01/2020;$3.706,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
36;Xavantina;Nueva York;11/01/2020;$7.412,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
37;Zaccaria;Houston;11/01/2020;$3.706,00;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;MercadoPago
38;Xavantina;Nueva York;11/01/2020;$7.412,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
39;Xcmg;Houston;11/01/2020;$3.706,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
40;Yamada Matriz;Houston;11/01/2020;-$8.697,05;Pagado;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;MercadoPago
41;Yara Brasil;Nueva York;11/01/2020;$41.916,71;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
42;Ykk Do Brasil;Chicago;11/01/2020;$53.909,85;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;MercadoPago
43;Zaccaria;Houston;11/01/2020;-$3.881,89;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
44;Yamada Matriz;Nueva York;11/01/2020;-$6.096,37;Pagado;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
45;Ykk Do Brasil;Houston;11/01/2020;-$4.480,46;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
46;Canoas Shopping;Los Ángeles;12/01/2020;$72.147,34;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Paypal
47;Indaia;Los Ángeles;12/01/2020;$5.576,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
48;Indaia;Nueva York;12/01/2020;$87.877,38;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
49;Xingu Fruit;Houston;12/01/2020;-$27.596,80;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
50;Xingu Fruit;Los Ángeles;12/01/2020;$4.182,00;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
51;Ind De Moveis Thb;Los Ángeles;12/01/2020;$4.879,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
52;Ind De Moveis Thb;Chicago;12/01/2020;$4.879,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Efectivo
53;Ind Plasticas Conquista;Nueva York;12/01/2020;$4.182,00;Recibido;Santander;https://i.ibb.co/8BvyVd7/4.png;Tarjeta
54;Hosp Sao Francisco Saude;Los Ángeles;13/01/2020;$3.262,13;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
55;Hosp Sao Francisco Saude;Nueva York;13/01/2020;$3.262,13;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
56;Diamante Iii;Nueva York;13/01/2020;-$6.453,16;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
57;Indaia;Chicago;13/01/2020;-$323,89;Pagado;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
58;Indaia;Nueva York;13/01/2020;$2.439,50;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
59;Diamante Iii;Chicago;13/01/2020;$6.273,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
60;Diamante Iii;Los Ángeles;13/01/2020;$2.439,50;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
61;Diamante Iii;Houston;13/01/2020;$6.273,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
62;Unimin;Houston;14/01/2020;$2.439,50;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
63;Indaia;Nueva York;16/01/2020;$2.439,50;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
64;Terphane Ne;Houston;16/01/2020;-$19.540,71;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;MercadoPago
65;Terphane Ne;Houston;16/01/2020;$42.301,72;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Efectivo
66;Terphane Ne;Los Ángeles;16/01/2020;-$30.972,90;Pagado;Santander;https://i.ibb.co/8BvyVd7/4.png;Paypal
67;Agreste;Chicago;18/01/2020;$6.970,00;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Efectivo
68;Bella Arte;Nueva York;18/01/2020;$4.530,50;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
69;Agropalma;Houston;18/01/2020;$3.136,50;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
70;Indaia;Los Ángeles;18/01/2020;$4.530,50;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
71;Libra Energia;Nueva York;18/01/2020;$6.970,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;MercadoPago
72;Unimed Sjrp;Nueva York;18/01/2020;$5.576,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Efectivo
73;Libra Energia;Nueva York;18/01/2020;$3.972,90;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
74;Unimed Sjrp;Los Ángeles;18/01/2020;-$32.210,13;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
75;Libra Energia;Los Ángeles;18/01/2020;$3.136,50;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
76;Unimed Sjrp;Chicago;18/01/2020;$5.737,70;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
77;Unimed Sjrp;Nueva York;18/01/2020;$3.214,87;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Tarjeta
78;Libra Energia;Los Ángeles;18/01/2020;$131.033,88;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;MercadoPago
79;Libra Energia;Houston;18/01/2020;-$4.756,57;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;MercadoPago
80;Hosp Sao Francisco Saude;Nueva York;19/01/2020;$1.519,71;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
81;Canuelas;Nueva York;19/01/2020;$173.417,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
82;Indaia;Houston;19/01/2020;$5.576,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
83;Sao Bartolomeu;Los Ángeles;20/01/2020;$5.576,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
84;Sao Bartolomeu;Nueva York;20/01/2020;$962,10;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Tarjeta
85;Sao Bartolomeu;Chicago;20/01/2020;-$85.596,63;Pagado;Bank Of America;https://i.ibb.co/C63d3hs/2.png;MercadoPago
86;Elkem Carboderivados;Nueva York;24/01/2020;$182.281,20;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
87;Elkem Carboderivados;Los Ángeles;24/01/2020;$6.426,12;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
88;Elkem Carboderivados;Los Ángeles;24/01/2020;$6.426,12;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
89;Wasser Kraft;Chicago;25/01/2020;$6.426,12;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
90;Xavantina;Nueva York;25/01/2020;$6.426,12;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
91;Xcmg;Houston;25/01/2020;$6.426,09;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Efectivo
92;Zaccaria;Nueva York;25/01/2020;-$1.577,63;Pagado;Santander;https://i.ibb.co/8BvyVd7/4.png;Paypal
93;Xcmg;Nueva York;25/01/2020;-$1.431,08;Pagado;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;MercadoPago
94;Ykk Do Brasil;Nueva York;25/01/2020;$0,00;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
95;Wasser Kraft;Los Ángeles;25/01/2020;$39.898,40;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Tarjeta
96;Xavantina;Los Ángeles;25/01/2020;$183.676,50;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
97;Zaccaria;Houston;25/01/2020;$18.713,37;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
98;Ykk Do Brasil;Houston;25/01/2020;$20.088,43;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
99;Indaia;Houston;26/01/2020;$19.280,69;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Tarjeta
100;Indaia;Houston;26/01/2020;$67.243,43;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
101;Ind Plasticas Conquista;Los Ángeles;26/01/2020;-$64.376,96;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
102;Hospital Evangelico;Nueva York;27/01/2020;$12.148,43;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
103;V S B Granitos;Los Ángeles;27/01/2020;$14.099,35;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Paypal
104;Hospital Evangelico;Los Ángeles;27/01/2020;$15.106,45;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
105;V S B Granitos;Los Ángeles;27/01/2020;$12.779,75;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Efectivo
106;V S B Granitos;Houston;27/01/2020;$149.098,62;Recibido;Santander;https://i.ibb.co/8BvyVd7/4.png;Tarjeta
107;Hospital Evangelico;Chicago;27/01/2020;$13.298,84;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
108;Hospital Evangelico;Houston;27/01/2020;$13.294,77;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
109;V S B Granitos;Los Ángeles;27/01/2020;-$60.985,84;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;MercadoPago
110;V S B Granitos;Houston;27/01/2020;$35.586,66;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
111;Hospital Evangelico;Chicago;27/01/2020;$35.586,66;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Tarjeta
112;V S B Granitos;Chicago;27/01/2020;$35.586,68;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;MercadoPago
113;Libraga Brandao Pi;Chicago;30/01/2020;-$1.088,40;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
114;Indaia;Chicago;30/01/2020;$3.545,37;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
115;Ind De Moveis Thb;Los Ángeles;30/01/2020;$23.012,32;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;MercadoPago
116;Diamante Iii;Houston;31/01/2020;$3.725,20;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
117;Diamante Iii;Nueva York;31/01/2020;$20.394,98;Recibido;Santander;https://i.ibb.co/8BvyVd7/4.png;Tarjeta
118;Rer Plasticos;Los Ángeles;31/01/2020;$165.831,18;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
119;Resende Shop;Nueva York;31/01/2020;$3.687,21;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
120;Tempo Energia;Chicago;31/01/2020;$21.452,97;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;MercadoPago
121;Diamante Iii;Houston;31/01/2020;$72.269,33;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
122;Rer Plasticos;Houston;31/01/2020;$160.739,54;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
123;Resende Shop;Nueva York;31/01/2020;$7.956,30;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
124;Tempo Energia;Houston;31/01/2020;$7.009,77;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
125;Tera Papeis;Houston;31/01/2020;$7.767,70;Recibido;Santander;https://i.ibb.co/8BvyVd7/4.png;Efectivo
126;Rer Plasticos;Los Ángeles;31/01/2020;$7.467,70;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Efectivo
127;Resende Shop;Nueva York;31/01/2020;$7.431,74;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Efectivo
128;Tempo Energia;Los Ángeles;31/01/2020;-$1.186,54;Pagado;Citigroup;https://i.ibb.co/18SNjp9/3.png;Tarjeta
129;Tempo Energia;Los Ángeles;31/01/2020;-$2.967,65;Pagado;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Efectivo
130;Tempo Energia;Los Ángeles;31/01/2020;-$8.781,54;Pagado;Citigroup;https://i.ibb.co/18SNjp9/3.png;Paypal
131;Tera Papeis;Houston;31/01/2020;$32.102,08;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Efectivo
132;Caramuru Pie I;Los Ángeles;1/02/2020;$26.456,98;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Efectivo
133;Indaia;Chicago;1/02/2020;$17.170,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
134;Agro Latina;Houston;2/02/2020;$27.529,60;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
135;Agro Latina;Chicago;2/02/2020;$17.170,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;MercadoPago
136;Indaia;Nueva York;2/02/2020;$26.489,33;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
137;Indaia;Nueva York;2/02/2020;$17.170,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
138;Fiacao Alliance;Houston;3/02/2020;$17.170,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Efectivo
139;Canoas Shopping;Nueva York;3/02/2020;$25.124,57;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;MercadoPago
140;Nova Olinda B;Chicago;3/02/2020;$27.543,76;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
141;Nova Olinda B;Chicago;3/02/2020;-$2.060,77;Pagado;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Efectivo
142;Nova Olinda B;Houston;3/02/2020;-$1.607,80;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Efectivo
143;Nova Olinda B;Los Ángeles;3/02/2020;$4.465,05;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
144;Nova Olinda B;Houston;3/02/2020;-$3.318,67;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
145;Nova Olinda B;Chicago;3/02/2020;-$287,91;Pagado;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Tarjeta
146;Nova Olinda B;Nueva York;3/02/2020;-$96.427,91;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
147;Nova Olinda B;Houston;3/02/2020;$1.576.760,85;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
148;Nova Olinda B;Nueva York;3/02/2020;$19.909,09;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Efectivo
149;Bemil;Houston;6/02/2020;$19.935,13;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
150;Eletronorte;Nueva York;6/02/2020;$19.550,00;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Paypal
151;Maristela Telhas;Nueva York;6/02/2020;$140.608,28;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
152;Uniipojuca;Houston;6/02/2020;-$38.396,61;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
153;Tempersinos;Nueva York;6/02/2020;-$5.700,31;Pagado;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Efectivo
154;Indaia;Nueva York;6/02/2020;-$4.607,16;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
155;Elkem Carboderivados;Los Ángeles;6/02/2020;$19.985,77;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
156;Libra Energia;Nueva York;7/02/2020;$19.778,37;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
157;Libra Energia;Nueva York;7/02/2020;$17.733,73;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
158;Libra Energia;Nueva York;7/02/2020;$1.730.526,51;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
159;Libra Energia;Los Ángeles;7/02/2020;$4.475,04;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Tarjeta
160;Libra Energia;Los Ángeles;7/02/2020;$122.498,41;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
161;Indaia;Nueva York;8/02/2020;$13.521,80;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
162;Hosp Sao Francisco Saude;Houston;9/02/2020;-$20.959,47;Pagado;Citigroup;https://i.ibb.co/18SNjp9/3.png;Paypal
163;Caramuru Pie I;Nueva York;9/02/2020;$153.367,76;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Paypal
164;Xavantina;Chicago;9/02/2020;$2.578,90;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
165;Weg Amazonia;Los Ángeles;9/02/2020;$5.576,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
166;Yamada Matriz;Nueva York;9/02/2020;$2.439,50;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
167;Zaccaria;Houston;9/02/2020;$2.605.830,56;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
168;Xavantina;Chicago;9/02/2020;$5.576,00;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Efectivo
169;Yamada Matriz;Los Ángeles;9/02/2020;$2.439,50;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Tarjeta
170;Weg Amazonia;Los Ángeles;9/02/2020;$2.633,06;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
171;Zaccaria;Nueva York;9/02/2020;$3.485,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;MercadoPago
172;Agropalma;Houston;10/02/2020;$4.182,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
173;Weg Amazonia;Los Ángeles;10/02/2020;$5.924,50;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Efectivo
174;Yabora;Nueva York;10/02/2020;$4.182,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
175;Yabora;Nueva York;10/02/2020;$5.924,50;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
176;Weg Amazonia;Chicago;10/02/2020;$3.205,49;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
177;Indaia;Chicago;13/02/2020;$3.485,00;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Efectivo
178;Gnu Pet;Chicago;13/02/2020;$4.182,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
179;Gnu Pet;Los Ángeles;13/02/2020;$4.182,00;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
180;Gnu Pet;Nueva York;13/02/2020;$3.205,49;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
181;Indaia;Los Ángeles;14/02/2020;-$68.445,65;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
182;Bello Racao;Los Ángeles;15/02/2020;$159.952,32;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
183;Indaia;Nueva York;15/02/2020;$40.415,69;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
184;Indaia;Houston;15/02/2020;$155.690,00;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Efectivo
185;Unimin;Houston;15/02/2020;-$13.543,88;Pagado;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Efectivo
186;V S B Granitos;Los Ángeles;16/02/2020;-$11.510,38;Pagado;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
187;Fersul- Cl;Houston;16/02/2020;$136.379,44;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Tarjeta
188;Fersul- Cl;Nueva York;16/02/2020;$151.660,17;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Tarjeta
189;V S B Granitos;Chicago;16/02/2020;$13.882,39;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
190;Fersul- Cl;Nueva York;16/02/2020;$11.822,36;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Paypal
191;V S B Granitos;Nueva York;16/02/2020;$13.900,55;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
192;V S B Granitos;Chicago;16/02/2020;$11.822,36;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
193;V S B Granitos;Houston;16/02/2020;$11.822,36;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Efectivo
194;Indaia;Nueva York;17/02/2020;$15.195,91;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
195;Ind De Moveis Thb;Los Ángeles;17/02/2020;$14.324,56;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Tarjeta
196;Yabora;Houston;17/02/2020;$11.822,36;Recibido;BBVA Bancomer;https://i.ibb.co/7GgKx4t/5.png;Efectivo
197;Ind De Moveis Thb;Nueva York;17/02/2020;$11.822,36;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Paypal
198;Ind Plasticas Conquista;Houston;17/02/2020;$14.315,69;Recibido;Santander;https://i.ibb.co/8BvyVd7/4.png;MercadoPago
